time	I(D1)
1.225627966622911e-05	9.435519e-03
1.227581091622911e-05	9.435277e-03
1.229534216622911e-05	9.435040e-03
1.231487341622910e-05	9.434806e-03
1.233440466622910e-05	9.434575e-03
1.235393591622910e-05	9.434348e-03
1.237346716622910e-05	9.434124e-03
1.239299841622910e-05	9.433903e-03
1.241252966622910e-05	9.433685e-03
1.243206091622910e-05	9.433470e-03
1.245159216622910e-05	9.433257e-03
1.247112341622910e-05	9.433049e-03
1.249065466622910e-05	9.432843e-03
1.251018591622910e-05	9.432639e-03
1.252971716622910e-05	9.432439e-03
1.254924841622909e-05	9.432240e-03
1.256877966622909e-05	9.432046e-03
1.258831091622909e-05	9.431853e-03
1.260784216622909e-05	9.431663e-03
1.262737341622909e-05	9.431476e-03
1.264690466622909e-05	9.431290e-03
1.266643591622909e-05	9.431108e-03
1.268596716622909e-05	9.430928e-03
1.270549841622909e-05	9.430750e-03
1.272502966622909e-05	9.430575e-03
1.274456091622909e-05	9.430402e-03
1.276409216622909e-05	9.430232e-03
1.278362341622909e-05	9.430063e-03
1.280315466622908e-05	9.429896e-03
1.282268591622908e-05	9.429732e-03
1.284221716622908e-05	9.429569e-03
1.286174841622908e-05	9.429410e-03
1.288127966622908e-05	9.429252e-03
1.290081091622908e-05	9.429096e-03
1.292034216622908e-05	9.428942e-03
1.293987341622908e-05	9.428790e-03
1.295940466622908e-05	9.428640e-03
1.297893591622908e-05	9.428492e-03
1.299846716622908e-05	9.428346e-03
1.301799841622908e-05	9.428200e-03
1.303752966622907e-05	9.428058e-03
1.305706091622907e-05	9.427917e-03
1.307659216622907e-05	9.427777e-03
1.309612341622907e-05	9.427641e-03
1.311565466622907e-05	9.427505e-03
1.313518591622907e-05	9.427371e-03
1.315471716622907e-05	9.427238e-03
1.317424841622907e-05	9.427108e-03
1.319377966622907e-05	9.426978e-03
1.321331091622907e-05	9.426851e-03
1.323284216622907e-05	9.426724e-03
