V1	V(n002)	I(D1)
Step Information: Temp=-25  (Step: 1/3)
6.400000000000000e+00	6.009473e-01	1.193221e-02
6.500000000000000e+00	6.018238e-01	1.213617e-02
6.600000000000001e+00	6.026859e-01	1.234015e-02
6.700000000000000e+00	6.035340e-01	1.254417e-02
6.800000000000001e+00	6.043684e-01	1.274821e-02
6.900000000000000e+00	6.051898e-01	1.295228e-02
7.000000000000000e+00	6.059984e-01	1.315638e-02
7.100000000000001e+00	6.067947e-01	1.336050e-02
7.200000000000000e+00	6.075790e-01	1.356465e-02
7.300000000000001e+00	6.083516e-01	1.376882e-02
7.400000000000000e+00	6.091130e-01	1.397302e-02
7.500000000000000e+00	6.098634e-01	1.417724e-02
7.600000000000001e+00	6.106032e-01	1.438148e-02
7.700000000000000e+00	6.113325e-01	1.458574e-02
7.800000000000001e+00	6.120518e-01	1.479002e-02
7.900000000000000e+00	6.127614e-01	1.499432e-02
8.000000000000000e+00	6.134614e-01	1.519864e-02
8.100000000000000e+00	6.141521e-01	1.540298e-02
8.200000000000001e+00	6.148338e-01	1.560734e-02
8.300000000000001e+00	6.155066e-01	1.581172e-02
8.400000000000000e+00	6.161709e-01	1.601611e-02
8.500000000000000e+00	6.168268e-01	1.622052e-02
8.600000000000000e+00	6.174746e-01	1.642495e-02
8.700000000000001e+00	6.181144e-01	1.662939e-02
8.800000000000001e+00	6.187463e-01	1.683385e-02
8.900000000000000e+00	6.193708e-01	1.703833e-02
9.000000000000000e+00	6.199878e-01	1.724282e-02
9.100000000000000e+00	6.205976e-01	1.744733e-02
9.200000000000001e+00	6.212003e-01	1.765185e-02
9.300000000000001e+00	6.217962e-01	1.785639e-02
9.400000000000000e+00	6.223853e-01	1.806094e-02
9.500000000000000e+00	6.229677e-01	1.826550e-02
9.600000000000001e+00	6.235438e-01	1.847007e-02
9.700000000000001e+00	6.241135e-01	1.867466e-02
9.800000000000001e+00	6.246771e-01	1.887926e-02
9.900000000000000e+00	6.252346e-01	1.908388e-02
1.000000000000000e+01	6.257862e-01	1.928851e-02
1.010000000000000e+01	6.263320e-01	1.949314e-02
1.020000000000000e+01	6.268721e-01	1.969779e-02
1.030000000000000e+01	6.274067e-01	1.990245e-02
1.040000000000000e+01	6.279359e-01	2.010713e-02
1.050000000000000e+01	6.284597e-01	2.031181e-02
1.060000000000000e+01	6.289783e-01	2.051651e-02
1.070000000000000e+01	6.294917e-01	2.072121e-02
